Food Rxn,Flux
Food_Added_EX_CE2510[e],-19.9999777206685
Food_Added_EX_adrn[e],-4.33325545943808
Food_Added_EX_arachd[e],-20
Food_Added_EX_dca[e],-19.9999867895385
Food_Added_EX_doco13ac[e],-9.99998052685987
Food_Added_EX_lnlc[e],-9.99969335715286
Food_Added_EX_ttdcea[e],-50.0841384476516
Food_Removed_EX_10fthf[e],-1.10165034234618e-09
Food_Removed_EX_5mthf[e],-1.13283046993999e-09
Food_Removed_EX_CE4843[e],-5.45002932880029e-07
Food_Removed_EX_adrn[e],-1.05576840181701e-07
Food_Removed_EX_ala_L[e],-0.000256878003409164
Food_Removed_EX_arach[e],-7.82059615811592e-06
Food_Removed_EX_arachd[e],-1.11904226019844e-06
Food_Removed_EX_ascb_L[e],-3.2585506081105e-06
Food_Removed_EX_asp_L[e],-0.000336969108778273
Food_Removed_EX_avite1[e],-2.27388235272266e-07
Food_Removed_EX_btn[e],-1.50721029126818e-09
Food_Removed_EX_but[e],-3.40228120613139e-05
Food_Removed_EX_ca2[e],-0.000184298950380092
Food_Removed_EX_chsterol[e],-2.86647691882612e-06
Food_Removed_EX_cl[e],-0.0022634802875191
Food_Removed_EX_clpnd[e],-4.53975898154008e-07
Food_Removed_EX_crvnc[e],-1.6087481699917e-05
Food_Removed_EX_cys_L[e],-5.5381792840545e-05
Food_Removed_EX_ddca[e],-1.45978772744742e-05
Food_Removed_EX_fe2[e],-8.36392395618825e-07
Food_Removed_EX_fe3[e],-8.36392395618825e-07
Food_Removed_EX_fol[e],-1.17928277127407e-09
Food_Removed_EX_fru[e],-0.000522715788566088
Food_Removed_EX_gal[e],-4.51775378991196e-05
Food_Removed_EX_glc_D[e],-0.00040008866394791
Food_Removed_EX_h2o[e],-0.919137578396412
Food_Removed_EX_hdcea[e],-2.3540487784216e-05
Food_Removed_EX_hpdca[e],-3.69512701587387e-06
Food_Removed_EX_i[e],-1.63091838556462e-08
Food_Removed_EX_ile_L[e],-0.000191568088123893
Food_Removed_EX_k[e],-0.0004220974228206
Food_Removed_EX_lcts[e],-0.000149767818251136
Food_Removed_EX_lgnc[e],-3.79164164142381e-06
Food_Removed_EX_lys_L[e],-0.000207187606505181
Food_Removed_EX_met_L[e],-6.31816535789625e-05
Food_Removed_EX_nac[e],-1.85518468924078e-06
Food_Removed_EX_ncam[e],-8.82295622667342e-07
Food_Removed_EX_pi[e],-9.77775937103104e-05
Food_Removed_EX_pnto_R[e],-3.54943858153818e-07
Food_Removed_EX_pro_L[e],-0.000328722261549575
Food_Removed_EX_ptdca[e],-4.93134335530613e-06
Food_Removed_EX_pydam[e],-1.94541797428305e-08
Food_Removed_EX_pydx[e],-1.96914769305624e-08
Food_Removed_EX_pydxn[e],-1.94568475690467e-08
Food_Removed_EX_retinol[e],-2.3273274321619e-06
Food_Removed_EX_ribflv[e],-2.54629451266004e-08
Food_Removed_EX_sbt_D[e],-3.51716987298071e-05
Food_Removed_EX_strdnc[e],-2.56061540219318e-06
Food_Removed_EX_thf[e],-1.17124080400836e-09
Food_Removed_EX_thr_L[e],-0.000164223455720544
Food_Removed_EX_ttdcea[e],-5.73966412998733e-06
Food_Removed_EX_urate[e],-2.40843858665015e-05
Food_Removed_EX_vitd3[e],-1.32646470518447e-10
