Food Rxn,Flux
Food_Added_EX_CE2510[e],-19.999983998714
Food_Added_EX_dca[e],-20
Food_Added_EX_doco13ac[e],-19.9999918797985
Food_Added_EX_hpdca[e],-10
Food_Added_EX_lnlc[e],-9.99974062480032
Food_Added_EX_xylt[e],-412.820259370492
Food_Removed_EX_10fthf[e],-1.05962336617147e-09
Food_Removed_EX_5mthf[e],-1.08961399975875e-09
Food_Removed_EX_CE4843[e],-1.35234442320803e-06
Food_Removed_EX_ala_L[e],-0.000251756493948659
Food_Removed_EX_arach[e],-4.10216490515666e-06
Food_Removed_EX_arachd[e],-1.80076555122731e-06
Food_Removed_EX_ascb_L[e],-9.17319471299629e-06
Food_Removed_EX_asp_L[e],-0.000308020811332072
Food_Removed_EX_avite1[e],-2.18681602141228e-07
Food_Removed_EX_btn[e],-1.3395521984206e-09
Food_Removed_EX_but[e],-4.9609325366755e-06
Food_Removed_EX_ca2[e],-0.000131233677661892
Food_Removed_EX_chsterol[e],-3.47263980109668e-06
Food_Removed_EX_cl[e],-0.00103465621151007
Food_Removed_EX_clpnd[e],-3.13610091203885e-06
Food_Removed_EX_crvnc[e],-1.34931780629247e-05
Food_Removed_EX_cys_L[e],-4.66538789780633e-05
Food_Removed_EX_dca[e],-4.17015314826613e-06
Food_Removed_EX_ddca[e],-1.89424537411942e-05
Food_Removed_EX_docosac[e],-5.1510375500085e-06
Food_Removed_EX_fe2[e],-1.26208702659146e-06
Food_Removed_EX_fe3[e],-1.26208702659146e-06
Food_Removed_EX_fol[e],-1.13429418730465e-09
Food_Removed_EX_gal[e],-3.77589632090873e-05
Food_Removed_EX_h2o[e],-0.966069035100575
Food_Removed_EX_hdcea[e],-1.89020757539224e-05
Food_Removed_EX_hpdca[e],-3.05723628808648e-06
Food_Removed_EX_i[e],-1.42692635912142e-08
Food_Removed_EX_k[e],-0.00054197688902075
Food_Removed_EX_lcts[e],-5.48160245089662e-05
Food_Removed_EX_lgnc[e],-1.72841917354317e-06
Food_Removed_EX_lys_L[e],-0.000185193048247625
Food_Removed_EX_na1[e],-9.73443547991337e-13
Food_Removed_EX_nac[e],-1.75170179454525e-06
Food_Removed_EX_ncam[e],-8.02032650806363e-07
Food_Removed_EX_pi[e],-7.7499349686165e-05
Food_Removed_EX_pnto_R[e],-1.85682034456476e-07
Food_Removed_EX_ptdca[e],-1.6398110495785e-06
Food_Removed_EX_pydam[e],-2.49538845646434e-08
Food_Removed_EX_pydx[e],-2.52582657674724e-08
Food_Removed_EX_pydxn[e],-2.49573065864565e-08
Food_Removed_EX_retinol[e],-4.14555198853838e-06
Food_Removed_EX_ribflv[e],-1.7602644674476e-08
Food_Removed_EX_strdnc[e],-2.36771823009295e-06
Food_Removed_EX_thf[e],-1.12655901390418e-09
Food_Removed_EX_thr_L[e],-0.000148601149101068
Food_Removed_EX_ttdcea[e],-7.57165279695192e-07
Food_Removed_EX_urate[e],-1.70448608245103e-05
Food_Removed_EX_val_L[e],-0.000190968472755862
Food_Removed_EX_vitd3[e],-6.00131847016904e-11
Food_Removed_EX_xylt[e],-2.7386011751009e-06
