Food Rxn,Flux
Food_Added_EX_CE2510[e],-28.0337985142833
Food_Added_EX_adrn[e],-14.2506347616436
Food_Added_EX_arachd[e],-23.3333336665528
Food_Added_EX_chsterol[e],-193.756472030072
Food_Added_EX_dca[e],-19.9999713398283
Food_Added_EX_doco13ac[e],-20
Food_Added_EX_docosac[e],-10
Food_Added_EX_hpdca[e],-20
Food_Added_EX_ocdcea[e],-9.99943402619101
Food_Removed_EX_10fthf[e],-9.18649597509725e-10
Food_Removed_EX_5mthf[e],-9.44650235428425e-10
Food_Removed_EX_CE2510[e],-5.89580857618762e-06
Food_Removed_EX_CE4843[e],-3.35918018550371e-07
Food_Removed_EX_adrn[e],-1.54846032266495e-07
Food_Removed_EX_arach[e],-5.68698890128321e-06
Food_Removed_EX_arachd[e],-1.878892550743e-06
Food_Removed_EX_ascb_L[e],-4.63689729067517e-06
Food_Removed_EX_asp_L[e],-0.000398257998491486
Food_Removed_EX_avite1[e],-2.99991881548307e-07
Food_Removed_EX_btn[e],-1.05616035772175e-09
Food_Removed_EX_but[e],-9.74373554297192e-05
Food_Removed_EX_ca2[e],-0.000168270830214415
Food_Removed_EX_chsterol[e],-1.88400811924199e-06
Food_Removed_EX_cl[e],-0.0031374366535627
Food_Removed_EX_clpnd[e],-1.58626007421836e-06
Food_Removed_EX_crvnc[e],-1.71857665942043e-05
Food_Removed_EX_ddca[e],-2.98576219868098e-05
Food_Removed_EX_doco13ac[e],-1.67427174116658e-06
Food_Removed_EX_docosac[e],-2.68717775953278e-06
Food_Removed_EX_fe2[e],-7.57714805861462e-07
Food_Removed_EX_fe3[e],-7.57714805861462e-07
Food_Removed_EX_fol[e],-9.83386108584937e-10
Food_Removed_EX_gal[e],-6.24459148992621e-06
Food_Removed_EX_glc_D[e],-0.000167283354768472
Food_Removed_EX_h2o[e],-0.855515660409754
Food_Removed_EX_hdca[e],-0.000419145301855808
Food_Removed_EX_his_L[e],-0.0001095063676273
Food_Removed_EX_hpdca[e],-2.75847146721733e-06
Food_Removed_EX_i[e],-9.68366204909883e-09
Food_Removed_EX_k[e],-0.000620258745265138
Food_Removed_EX_lcts[e],-0.000125636692166003
Food_Removed_EX_lgnc[e],-7.33019738025604e-07
Food_Removed_EX_lys_L[e],-0.0002635852488697
Food_Removed_EX_nac[e],-1.31499203531488e-06
Food_Removed_EX_ncam[e],-7.06245916056225e-07
Food_Removed_EX_phe_L[e],-0.000139114177832153
Food_Removed_EX_pi[e],-9.95600961179475e-05
Food_Removed_EX_pnto_R[e],-1.18626476100574e-07
Food_Removed_EX_pro_L[e],-0.000255007542165919
Food_Removed_EX_ptdca[e],-2.69049840313474e-06
Food_Removed_EX_pydam[e],-1.80258439286263e-08
Food_Removed_EX_pydx[e],-1.82457735609768e-08
Food_Removed_EX_pydxn[e],-1.8028370152585e-08
Food_Removed_EX_ribflv[e],-2.24959584770661e-08
Food_Removed_EX_ser_L[e],-0.000243157581980083
Food_Removed_EX_strdnc[e],-4.74451397416708e-07
Food_Removed_EX_thf[e],-9.76680033428558e-10
Food_Removed_EX_trp_L[e],-2.88723347233022e-05
Food_Removed_EX_ttdcea[e],-5.17118924539079e-06
Food_Removed_EX_urate[e],-1.76307856607636e-05
Food_Removed_EX_vitd3[e],-4.23450431405971e-11
